Satellits Schedule / LorettOrbital 0.0.4

Coordinates of the position: 43.8302° 55.397°
Time zone: UTC +3:00
Start: 2022.03.06 19:52:13
Stop:  2022.03.08 22:52:13
Minimum Elevation: 15°
Minimum Apogee: 20°
Number of passes: 27

+------------+---------------------+---------+-----------+
| Satellite  |       DateTime      | Azimuth | Elevation |
+------------+---------------------+---------+-----------+
|  NOAA 19   | 2022.03.06 20:19:46 |  250.35 |    15.0   |
|  NOAA 19   | 2022.03.06 20:21:13 |  271.43 |    16.8   |
|  NOAA 19   | 2022.03.06 20:22:41 |  292.51 |    15.0   |
|            |                     |         |           |
|  NOAA 18   | 2022.03.06 20:33:22 |  130.69 |    15.0   |
|  NOAA 18   | 2022.03.06 20:37:12 |  63.21  |   44.84   |
|  NOAA 18   | 2022.03.06 20:41:03 |  355.85 |    15.0   |
|            |                     |         |           |
|  NOAA 18   | 2022.03.06 22:14:34 |  206.46 |    15.0   |
|  NOAA 18   | 2022.03.06 22:18:03 |  263.99 |   32.57   |
|  NOAA 18   | 2022.03.06 22:21:34 |  321.55 |    15.0   |
|            |                     |         |           |
| METEOR-M 2 | 2022.03.07 06:43:18 |  40.78  |    15.0   |
| METEOR-M 2 | 2022.03.07 06:46:31 |   94.3  |   29.37   |
| METEOR-M 2 | 2022.03.07 06:49:43 |  147.8  |    15.0   |
|            |                     |         |           |
|  NOAA 19   | 2022.03.07 06:52:03 |  69.01  |    15.0   |
|  NOAA 19   | 2022.03.07 06:53:23 |  88.36  |   16.51   |
|  NOAA 19   | 2022.03.07 06:54:43 |  107.71 |    15.0   |
|            |                     |         |           |
| METEOR-M 2 | 2022.03.07 08:23:11 |   3.74  |    15.0   |
| METEOR-M 2 | 2022.03.07 08:26:55 |  294.99 |   46.51   |
| METEOR-M 2 | 2022.03.07 08:30:38 |  226.13 |    15.0   |
|            |                     |         |           |
|  NOAA 19   | 2022.03.07 08:30:41 |  16.44  |    15.0   |
|  NOAA 19   | 2022.03.07 08:34:49 |  266.68 |    85.0   |
|  NOAA 19   | 2022.03.07 08:38:49 |  201.67 |    15.0   |
|            |                     |         |           |
|  NOAA 19   | 2022.03.07 10:12:57 |  337.24 |    15.0   |
|  NOAA 19   | 2022.03.07 10:14:47 |  310.3  |    18.2   |
|  NOAA 19   | 2022.03.07 10:16:37 |  283.34 |    15.0   |
|            |                     |         |           |
|  NOAA 18   | 2022.03.07 10:27:56 |  27.92  |    15.0   |
|  NOAA 18   | 2022.03.07 10:31:56 |  101.39 |   51.42   |
|  NOAA 18   | 2022.03.07 10:35:53 |  174.8  |    15.0   |
|            |                     |         |           |
|  NOAA 18   | 2022.03.07 12:09:06 |  355.29 |    15.0   |
|  NOAA 18   | 2022.03.07 12:12:25 |  302.34 |   30.14   |
|  NOAA 18   | 2022.03.07 12:15:43 |  249.28 |    15.0   |
|            |                     |         |           |
| METEOR-M 2 | 2022.03.07 16:34:58 |   87.1  |    15.0   |
| METEOR-M 2 | 2022.03.07 16:37:11 |  53.26  |    20.2   |
| METEOR-M 2 | 2022.03.07 16:39:24 |  19.45  |    15.0   |
|            |                     |         |           |
|  NOAA 19   | 2022.03.07 16:47:22 |  58.33  |    15.0   |
|  NOAA 19   | 2022.03.07 16:48:10 |  47.05  |   15.54   |
|  NOAA 19   | 2022.03.07 16:48:57 |  35.78  |    15.0   |
|            |                     |         |           |
| METEOR-M 2 | 2022.03.07 18:12:51 |  167.09 |    15.0   |
| METEOR-M 2 | 2022.03.07 18:16:50 |  254.25 |   80.61   |
| METEOR-M 2 | 2022.03.07 18:20:51 |  341.5  |    15.0   |
|            |                     |         |           |
|  NOAA 19   | 2022.03.07 18:23:59 |  149.29 |    15.0   |
|  NOAA 19   | 2022.03.07 18:28:02 |  68.34  |   69.34   |
|  NOAA 19   | 2022.03.07 18:32:04 |  347.49 |    15.0   |
|            |                     |         |           |
|  NOAA 19   | 2022.03.07 20:06:50 |  232.94 |    15.0   |
|  NOAA 19   | 2022.03.07 20:09:13 |  268.93 |   20.63   |
|  NOAA 19   | 2022.03.07 20:11:37 |  304.94 |    15.0   |
|            |                     |         |           |
|  NOAA 18   | 2022.03.07 20:21:39 |  121.73 |    15.0   |
|  NOAA 18   | 2022.03.07 20:25:17 |  60.68  |   37.16   |
|  NOAA 18   | 2022.03.07 20:28:56 |  359.75 |    15.0   |
|            |                     |         |           |
|  NOAA 18   | 2022.03.07 22:02:13 |  196.32 |    15.0   |
|  NOAA 18   | 2022.03.07 22:05:58 |  261.5  |   40.06   |
|  NOAA 18   | 2022.03.07 22:09:45 |  326.72 |    15.0   |
|            |                     |         |           |
| METEOR-M 2 | 2022.03.08 06:23:59 |  53.24  |    15.0   |
| METEOR-M 2 | 2022.03.08 06:26:22 |  90.17  |   20.93   |
| METEOR-M 2 | 2022.03.08 06:28:45 |  127.1  |    15.0   |
|            |                     |         |           |
| METEOR-M 2 | 2022.03.08 08:03:06 |  10.28  |    15.0   |
| METEOR-M 2 | 2022.03.08 08:07:03 |  290.88 |   65.95   |
| METEOR-M 2 | 2022.03.08 08:10:59 |  211.37 |    15.0   |
|            |                     |         |           |
|  NOAA 19   | 2022.03.08 08:18:51 |  20.33  |    15.0   |
|  NOAA 19   | 2022.03.08 08:22:55 |  106.65 |   78.26   |
|  NOAA 19   | 2022.03.08 08:26:58 |  192.88 |    15.0   |
|            |                     |         |           |
|  NOAA 19   | 2022.03.08 10:00:39 |  344.58 |    15.0   |
|  NOAA 19   | 2022.03.08 10:03:05 |  307.69 |   21.34   |
|  NOAA 19   | 2022.03.08 10:05:31 |  270.76 |    15.0   |
|            |                     |         |           |
|  NOAA 18   | 2022.03.08 10:16:03 |  32.48  |    15.0   |
|  NOAA 18   | 2022.03.08 10:19:52 |   98.9  |   41.46   |
|  NOAA 18   | 2022.03.08 10:23:38 |  165.29 |    15.0   |
|            |                     |         |           |
|  NOAA 18   | 2022.03.08 11:56:55 |  359.51 |    15.0   |
|  NOAA 18   | 2022.03.08 12:00:31 |  299.79 |   35.92   |
|  NOAA 18   | 2022.03.08 12:04:05 |  239.95 |    15.0   |
|            |                     |         |           |
| METEOR-M 2 | 2022.03.08 16:16:49 |  58.79  |    15.0   |
| METEOR-M 2 | 2022.03.08 16:17:30 |  48.94  |    15.4   |
| METEOR-M 2 | 2022.03.08 16:18:11 |  39.09  |    15.0   |
|            |                     |         |           |
| METEOR-M 2 | 2022.03.08 17:52:57 |  152.39 |    15.0   |
| METEOR-M 2 | 2022.03.08 17:56:54 |  70.17  |    72.2   |
| METEOR-M 2 | 2022.03.08 18:00:53 |  348.06 |    15.0   |
